int64_field_0,url,title,time_published,sentiment_score,sentiment_label,source,ticker_sentiment_score,ticker_sentiment_label
879,https://cointelegraph.com/news/global-manhunt-underway-jpex-promoter-coin-young-master,Global manhunt underway for JPEX promoter 'Coin Young Master',2024-07-26 01:35:40 UTC,-0.156049,Somewhat-Bearish,Cointelegraph,-0.42024,Bearish
238,https://decrypt.co/302398/john-mcafees-twitter-promoting-solana-ai-token,Back From the Dead? John McAfee's Twitter Used to Promote Solana AI Token,2025-01-23 13:55:55 UTC,-0.133485,Neutral,Decrypt.co,-0.376897,Bearish
599,https://www.benzinga.com/24/12/42484227/shiba-inu-burns-13m-coins-in-a-day-trader-predicts-imminent-rally-taiwan-semiconductor-projected-to-dominate-67-o,"Texas Aligns with Trump's Bitcoin Strategy, Proposes Reserve with 5-Year Hold; Taiwan Semiconductor Projected to Dominate 67% of Foundry Market by 2025: IDC - Top Headlines Today While US Slept",2024-12-13 14:12:41 UTC,0.048908,Neutral,Benzinga,-0.411999,Bearish
377,https://www.benzinga.com/markets/cryptocurrency/23/08/34090371/bitcoin-ethereum-edge-lower-pepe-sui-among-top-losers,"Bitcoin, Ethereum Edge Lower; Pepe, Sui Among Top Losers",2023-08-29 13:34:09 UTC,-0.107877,Neutral,Benzinga,-0.593842,Bearish
711,https://www.benzinga.com/markets/cryptocurrency/23/09/34823666/ethereum-trades-below-this-key-level-cosmos-rocket-pool-among-top-losers,"Ethereum Trades Below This Key Level; Cosmos, Rocket Pool Among Top Losers",2023-09-22 13:39:35 UTC,-0.112367,Neutral,Benzinga,-0.613882,Bearish
373,https://www.benzinga.com/markets/cryptocurrency/23/10/35464246/ethereum-falls-below-this-key-level-following-pce-data-bitcoin-sv-becomes-top-loser,Ethereum Falls Below This Key Level Following PCE Data; Bitcoin SV Becomes Top Loser,2023-10-27 13:33:12 UTC,-0.136674,Neutral,Benzinga,-0.605253,Bearish
705,https://www.benzinga.com/markets/cryptocurrency/23/11/35777871/bitcoin-ethereum-move-lower-following-cpi-data-cosmos-becomes-top-loser,"Bitcoin, Ethereum Move Lower Following CPI Data; Cosmos Becomes Top Loser",2023-11-14 14:38:35 UTC,-0.092943,Neutral,Benzinga,-0.60156,Bearish
826,https://www.benzinga.com/markets/cryptocurrency/23/11/35959301/bitcoin-falls-below-37-000-blur-gas-among-top-losers,"Bitcoin Falls Below $37,000; Blur, Gas Among Top Losers",2023-11-27 14:32:44 UTC,-0.154153,Somewhat-Bearish,Benzinga,-0.652135,Bearish
16,https://www.benzinga.com/markets/cryptocurrency/25/02/43852658/bitcoin-ethereum-face-downside-risk-as-institutional-demand-fades-jpmorgan-says,"Bitcoin, Ethereum Face Downside Risk As Institutional Demand Fades, JPMorgan Says",2025-02-20 15:24:50 UTC,-0.180477,Somewhat-Bearish,Benzinga,-0.38232,Bearish
56,https://www.benzinga.com/markets/cryptocurrency/25/02/43852658/bitcoin-ethereum-face-downside-risk-as-institutional-demand-fades-jpmorgan-says,"Bitcoin, Ethereum Face Downside Risk As Institutional Demand Fades, JPMorgan Says",2025-02-20 15:24:50 UTC,-0.180477,Somewhat-Bearish,Benzinga,-0.38232,Bearish
897,https://cointelegraph.com/news/ethereum-ecosystem-500m-projects,Ethereum deploys nearly $500M to ecosystem projects in 2022-2023: Report,2024-11-08 07:48:48 UTC,0.264615,Somewhat-Bullish,Cointelegraph,0.464295,Bullish
901,https://cointelegraph.com/news/grayscale-35-cryptocurrencies-potential-investment-products,"Grayscale puts DOGE, Worldcoin on list of 35 potential crypto products",2024-10-15 06:00:38 UTC,0.269923,Somewhat-Bullish,Cointelegraph,0.409293,Bullish
629,https://cointelegraph.com/news/stellar-minority-investor-in-moneygram,Stellar dips into treasury to buy minority stake in MoneyGram,2023-08-16 04:08:28 UTC,0.194029,Somewhat-Bullish,Cointelegraph,0.386329,Bullish
630,https://decrypt.co/152598/stellar-invests-in-moneygram-in-bid-to-become-a-digital-forward-leader-in-fintech,Stellar Invests in MoneyGram in Bid to Be a 'Digital-Forward' FinTech Leader,2023-08-15 20:44:41 UTC,0.3618,Bullish,Decrypt.co,0.687053,Bullish
627,https://decrypt.co/154833/xlm-surges-10-as-stellar-teases-something-cool-on-the-horizon,XLM Surges 10% As Stellar Teases 'Something Cool' on the Horizon,2023-09-04 10:32:36 UTC,0.359277,Bullish,Decrypt.co,0.367305,Bullish
922,https://decrypt.co/231951/grayscale-trusts-bitcoin-layer-2-stacks-near-protocol,"Grayscale Launches Trusts for Bitcoin Layer-2 Stacks, Near Protocol",2024-05-23 13:01:07 UTC,0.455374,Bullish,Decrypt.co,0.59872,Bullish
864,https://decrypt.co/249124/grayscale-debuts-xrp-trust-bitcoin-ethereum-etfs,Grayscale Debuts XRP Trust Following Bitcoin and Ethereum ETF Launches,2024-09-12 16:12:19 UTC,0.299488,Somewhat-Bullish,Decrypt.co,0.612346,Bullish
541,https://decrypt.co/284532/grayscale-aave-fund-ethereum-lending-token,Grayscale Launches Aave Fund for Ethereum Lending Token,2024-10-03 15:58:49 UTC,0.340098,Somewhat-Bullish,Decrypt.co,0.437628,Bullish
852,https://decrypt.co/284532/grayscale-aave-fund-ethereum-lending-token,Grayscale Launches Aave Fund for Ethereum Lending Token,2024-10-03 15:58:49 UTC,0.340098,Somewhat-Bullish,Decrypt.co,0.437628,Bullish
900,https://decrypt.co/287706/decentraland-launches-revamped-virtual-world-with-enhanced-performance-engaging-features-and-future-ready-architecture,"Decentraland Launches Revamped Virtual World with Enhanced Performance, Engaging Features, and Future-Ready Architecture",2024-10-22 15:00:22 UTC,0.407741,Bullish,Decrypt.co,0.619244,Bullish
685,https://decrypt.co/293796/torn-jumps-380-privacy-coins-railgun-zcash-surge-after-tornado-cash-ruling,"TORN Jumps 380%, Privacy Coins Railgun, Zcash Surge After Tornado Cash Ruling",2024-11-27 10:58:55 UTC,0.20216,Somewhat-Bullish,Decrypt.co,0.412479,Bullish
684,https://decrypt.co/293944/tornado-cash-ruling-a-positive-boon-for-ethereum-and-defi-says-10x-research,Tornado Cash Ruling a Boon For Ethereum and DeFi Says 10X Research,2024-11-28 04:26:21 UTC,0.258993,Somewhat-Bullish,Decrypt.co,0.409142,Bullish
681,https://decrypt.co/295502/pepe-flips-uni-and-ltc-surges-past-11-billion-market-cap-to-new-record,"PEPE Flips UNI and LTC, Surges Past $11 Billion Market Cap to New Record",2024-12-09 05:23:17 UTC,0.430502,Bullish,Decrypt.co,0.574935,Bullish
